"Regionsnavn";"Antal første vacc.";"Antal faerdigvacc.";"Antal 1. revacc.";"Vacc.dækning foerste vacc. (%)";"Vacc.dækning faerdigvacc. (%)";"Vacc.dækning 1. revacc. (%)";"Antal borgere"
Nordjylland;461704;454609;12208;78.1;76.9;2.1;591485
Midtjylland;1031932;1016151;31291;77.0;75.9;2.3;1339493
Syddanmark;942253;928698;26272;76.8;75.7;2.1;1226336
Hovedstaden;1384427;1356798;35449;74.3;72.8;1.9;1863698
Sjælland;643512;634938;17357;76.4;75.4;2.1;842211
