"Regionsnavn";"Antal første vacc. personer";"Antal faerdigvacc. personer";"Antal borgere"
Nordjylland;461704;454609;591485
Midtjylland;1031932;1016151;1339493
Syddanmark;942253;928698;1226336
Hovedstaden;1384427;1356798;1863698
Sjælland;643512;634938;842211
