Aldersgruppe;Kvinder_(procent);Mænd_(procent);I_alt
0-9;  15.572 (49);  16.401 (51);  31.973
10-19;  32.262 (49);  33.193 (51);  65.455
20-29;  39.117 (49);  40.814 (51);  79.931
30-39;  26.848 (50);  26.696 (50);  53.544
40-49;  27.733 (53);  24.926 (47);  52.659
50-59;  23.514 (51);  22.917 (49);  46.431
60-69;  11.836 (49);  12.491 (51);  24.327
70-79;   7.183 (50);   7.317 (50);  14.500
80-89;   3.950 (57);   2.982 (43);   6.932
90+;   1.464 (71);     609 (29);   2.073
I alt; 189.479 (50); 188.346 (50); 377.825
