Region;Testede;Positive;Indlagt_total;Døde
Hovedstaden;1.164.934;  38.298;   2.487;     463
Sjælland; 449.740;   9.599;     856;     145
Syddanmark; 653.597;  10.695;     575;      57
Midtjylland; 741.225;  15.148;     796;     110
Nordjylland; 398.802;   5.796;     343;      62
I alt i Danmark;3.408.298;  79.536;   5.057;     837
